productname,sellername,ratingsaverage,ratingscount,questionscount,amazonschoice,categoryname,pricelist,price,freereturns,free_shipping,sold_byname,available,hascountdown,description,usedcount,usedprice,productid,varkey,varvalue,imageurl
shirt1,Alex Romanak1,3.9,116,21,0,Jewelery,85,68.85000000000001,1,0,Alex Romanak,1,0,Expedita nihil laboriosam veritatis voluptatem quo omnis aut in nobis.\nMollitia saepe sit.\nSed necessitatibus non eos quod iusto ipsa sit.\nVoluptates voluptatem amet animi quae dignissimos dignissimos impedit ut in.,12,34.425000000000004,1,size,1.5,http://cutecatsinhats.com/wp-content/uploads/2016/01/first-birthday-kitten.jpg
shirt2,Alex Romanak2,1.8,155,13,0,Grocery,105,84,0,0,Alex Romanak,1,1,Hic mollitia officiis.\nRerum voluptate aliquid tempora.,1,49.559999999999995,2,color,Lawn Green,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/kittens-in-basket.jpg
shirt3,Alex Romanak3,3.5,60,16,1,Garden,106,84.80000000000001,0,1,Alex Romanak,0,0,Sint accusantium minima voluptates doloremque soluta eum similique tempora.\nMollitia explicabo sed iste cum aliquam sed.\nExcepturi blanditiis recusandae.\nVelit eveniet est corporis non.\nFugit a perferendis sint doloremque assumenda aut.,2,66.99200000000002,3,size,2.5,http://www.catster.com/wp-content/uploads/2018/02/Cute-gray-tabby-kitten-finger-bite.jpg
shirt4,Alex Romanak4,4.8,172,10,1,Clothing,3,2.4899999999999998,1,0,Alex Romanak,1,1,Et qui earum ut perferendis et iste.\nCulpa quis minima iusto aut voluptatem.\nIn mollitia maxime.\nNisi qui tenetur laboriosam et sed ratione assumenda nostrum.\nQuis et animi similique illum est sed fugiat esse.,1,1.5686999999999998,4,color,,http://www.petmania.ie/images/default-source/cat/petmania-kitten-1.jpg
shirt5,Alex Romanak5,4.9,95,16,0,Baby,105,84,0,0,Alex Romanak,1,0,Doloribus fuga omnis ut cum repudiandae.\nQuasi nihil error voluptates.,7,67.2,5,color,,http://www.petmd.com/sites/default/files/happy-healthy-kitten.jpg
shirt6,Alex Romanak6,2.1,484,21,0,Automotive,69,55.2,0,0,Alex Romanak,0,1,Itaque autem totam id aut.\nNihil saepe tempora quia.\nDolorem labore fugit in.,19,29.256000000000004,6,color,,http://animalalliancenyc.org/feralcats/wp-content/uploads/PhotoHead-KristaMenzel-DSC_7093.jpg
shirt7,Alex Romanak7,2.6,51,22,0,Home,29,27.549999999999997,0,0,Alex Romanak,0,0,Cum voluptas exercitationem.\nEt rerum enim totam dicta.,12,24.243999999999996,7,color,,http://cdn.earthporm.com/wp-content/uploads/2015/08/cat-and-mini-me-counterpart-51__700.jpg
shirt8,Alex Romanak8,2.3,130,10,0,Shoes,34,29.58,1,0,Alex Romanak,1,1,Veritatis quos similique.\nConsectetur repellendus ullam vel alias rerum expedita aut doloribus debitis.\nDolorum voluptates et quibusdam odio est.,4,25.142999999999997,8,size,5,http://www.orphankittenrescue.com/~ASSETS/img/upload/Cauliflower.JPG
shirt9,Alex Romanak9,4.8,275,11,0,Garden,67,58.96,0,0,Alex Romanak,0,1,Nulla et repellat libero rerum sequi nesciunt perferendis omnis nihil.\nDoloribus aut saepe.\nUt consequatur alias eos.\nIllo eaque vel unde et tempora.\nEt accusantium sequi quis nihil voluptates dolorem facilis.,20,47.168000000000006,9,size,5.5,http://i0.kym-cdn.com/photos/images/newsfeed/001/327/699/014.jpg
shirt10,Alex Romanak10,3.9,187,12,0,Tools,79,68.73,1,1,Alex Romanak,1,0,Ut sequi quaerat delectus et maiores sit pariatur numquam.,1,35.7396,10,color,,http://catvills.com/wp-content/uploads/2017/08/Why-cat-bring-kittens-to-bed-f.jpg
shirt11,Alex Romanak11,3.4,102,25,1,Sports,42,35.699999999999996,0,1,Alex Romanak,0,1,A pariatur occaecati vero dicta.\nDolorem aliquam tempore dolorum quo odio ipsum id.,10,24.989999999999995,11,color,,http://www.petmd.com/sites/default/files/cats-kittens-92250862_0.jpg
